Date and Time,Shower
09/02/2019 00:00,
09/02/2019 01:00,
09/02/2019 02:00,
09/02/2019 03:00,
09/02/2019 04:00,
09/02/2019 05:00,
09/02/2019 06:00,
09/02/2019 07:00,
09/02/2019 08:00,
09/02/2019 09:00,
09/02/2019 10:00,
09/02/2019 11:00,
09/02/2019 12:00,
09/02/2019 13:00,
09/02/2019 14:00,
09/02/2019 15:00,
09/02/2019 16:00,
09/02/2019 17:00,
09/02/2019 18:00,
09/02/2019 19:00,
09/02/2019 20:00,
09/02/2019 21:00,
09/02/2019 22:00,
09/02/2019 23:00,
12/02/2019 07:00,
12/02/2019 08:00,
12/02/2019 09:00,
12/02/2019 10:00,
12/02/2019 11:00,
12/02/2019 12:00,
12/02/2019 13:00,
12/02/2019 14:00,
12/02/2019 15:00,
12/02/2019 16:00,
12/02/2019 17:00,
12/02/2019 18:00,
12/02/2019 19:00,
12/02/2019 20:00,
12/02/2019 21:00,
12/02/2019 22:00,
12/02/2019 23:00,
13/02/2019 00:00,
13/02/2019 01:00,
13/02/2019 02:00,
13/02/2019 03:00,
13/02/2019 04:00,
13/02/2019 05:00,
13/02/2019 06:00,
13/02/2019 07:00,
13/02/2019 08:00,
13/02/2019 09:00,
13/02/2019 10:00,
13/02/2019 11:00,
13/02/2019 12:00,
13/02/2019 13:00,
13/02/2019 14:00,
13/02/2019 15:00,
13/02/2019 16:00,
13/02/2019 17:00,
13/02/2019 18:00,
13/02/2019 19:00,
13/02/2019 20:00,
13/02/2019 21:00,
13/02/2019 22:00,
13/02/2019 23:00,
14/02/2019 00:00,
14/02/2019 01:00,
14/02/2019 02:00,
14/02/2019 03:00,
14/02/2019 04:00,
14/02/2019 05:00,
14/02/2019 06:00,
14/02/2019 07:00,
14/02/2019 08:00,
14/02/2019 09:00,
14/02/2019 10:00,
14/02/2019 11:00,
14/02/2019 12:00,
14/02/2019 13:00,
14/02/2019 14:00,
14/02/2019 15:00,
14/02/2019 16:00,
14/02/2019 17:00,
14/02/2019 18:00,
14/02/2019 19:00,
14/02/2019 20:00,
14/02/2019 21:00,
14/02/2019 22:00,
14/02/2019 23:00,
15/02/2019 00:00,
15/02/2019 01:00,
15/02/2019 02:00,
15/02/2019 03:00,
15/02/2019 04:00,
15/02/2019 05:00,
15/02/2019 06:00,
15/02/2019 07:00,
15/02/2019 08:00,
15/02/2019 09:00,
15/02/2019 10:00,
15/02/2019 11:00,
15/02/2019 12:00,
15/02/2019 13:00,
15/02/2019 14:00,
15/02/2019 15:00,
15/02/2019 16:00,
15/02/2019 17:00,
15/02/2019 18:00,
15/02/2019 19:00,
15/02/2019 20:00,
15/02/2019 21:00,
15/02/2019 22:00,
15/02/2019 23:00,
16/02/2019 00:00,
16/02/2019 01:00,
16/02/2019 02:00,
16/02/2019 03:00,
16/02/2019 04:00,
16/02/2019 05:00,
16/02/2019 06:00,
16/02/2019 07:00,
16/02/2019 08:00,
16/02/2019 09:00,
16/02/2019 10:00,
16/02/2019 11:00,
16/02/2019 12:00,
16/02/2019 13:00,
16/02/2019 14:00,
16/02/2019 15:00,
16/02/2019 16:00,
16/02/2019 17:00,
16/02/2019 18:00,
16/02/2019 19:00,
16/02/2019 20:00,
16/02/2019 21:00,
16/02/2019 22:00,
16/02/2019 23:00,
17/02/2019 00:00,
17/02/2019 01:00,
17/02/2019 02:00,
17/02/2019 03:00,
17/02/2019 04:00,
17/02/2019 05:00,
17/02/2019 06:00,
17/02/2019 07:00,
17/02/2019 08:00,
17/02/2019 09:00,
17/02/2019 10:00,
17/02/2019 11:00,
17/02/2019 12:00,
17/02/2019 13:00,
17/02/2019 14:00,
17/02/2019 15:00,
17/02/2019 16:00,
17/02/2019 17:00,
17/02/2019 18:00,
17/02/2019 19:00,
17/02/2019 20:00,
17/02/2019 21:00,
17/02/2019 22:00,
19/02/2019 13:00,0
19/02/2019 14:00,0
19/02/2019 15:00,0
19/02/2019 16:00,0
19/02/2019 17:00,0
19/02/2019 18:00,0
19/02/2019 19:00,0
19/02/2019 20:00,1
19/02/2019 21:00,0
19/02/2019 22:00,0
19/02/2019 23:00,0
20/02/2019 00:00,0
20/02/2019 01:00,0
20/02/2019 02:00,0
20/02/2019 03:00,0
20/02/2019 04:00,0
20/02/2019 05:00,0
20/02/2019 06:00,0
20/02/2019 07:00,1
20/02/2019 08:00,0
20/02/2019 09:00,0
20/02/2019 10:00,0
20/02/2019 11:00,0
20/02/2019 12:00,0
20/02/2019 13:00,0
20/02/2019 14:00,0
20/02/2019 15:00,0
20/02/2019 16:00,0
20/02/2019 17:00,0
20/02/2019 18:00,0
20/02/2019 19:00,0
20/02/2019 20:00,0
20/02/2019 21:00,0
20/02/2019 22:00,1
20/02/2019 23:00,0
21/02/2019 00:00,0
21/02/2019 01:00,0
21/02/2019 02:00,0
21/02/2019 03:00,0
21/02/2019 04:00,0
21/02/2019 05:00,0
21/02/2019 06:00,0
21/02/2019 07:00,1
21/02/2019 08:00,0
21/02/2019 09:00,0
21/02/2019 10:00,0
21/02/2019 11:00,0
21/02/2019 12:00,0
21/02/2019 13:00,0
21/02/2019 14:00,0
21/02/2019 15:00,0
21/02/2019 16:00,0
21/02/2019 17:00,0
21/02/2019 18:00,0
21/02/2019 19:00,0
21/02/2019 20:00,0
21/02/2019 21:00,0
21/02/2019 22:00,0
21/02/2019 23:00,1
22/02/2019 00:00,0
22/02/2019 01:00,0
22/02/2019 02:00,0
22/02/2019 03:00,0
22/02/2019 04:00,0
22/02/2019 05:00,0
22/02/2019 06:00,0
22/02/2019 07:00,0
22/02/2019 08:00,0
22/02/2019 09:00,0
22/02/2019 10:00,0
22/02/2019 11:00,0
22/02/2019 12:00,0
22/02/2019 13:00,0
22/02/2019 14:00,0
22/02/2019 15:00,0
22/02/2019 16:00,0
22/02/2019 17:00,0
22/02/2019 18:00,0
22/02/2019 19:00,0
22/02/2019 20:00,0
22/02/2019 21:00,1
22/02/2019 22:00,0
22/02/2019 23:00,0
23/02/2019 00:00,0
23/02/2019 01:00,0
23/02/2019 02:00,0
23/02/2019 03:00,0
23/02/2019 04:00,0
23/02/2019 05:00,0
23/02/2019 06:00,0
23/02/2019 07:00,0
23/02/2019 08:00,0
23/02/2019 09:00,0
23/02/2019 10:00,0
23/02/2019 11:00,0
23/02/2019 12:00,1
23/02/2019 13:00,0
23/02/2019 14:00,0
23/02/2019 15:00,0
23/02/2019 16:00,0
23/02/2019 17:00,0
23/02/2019 18:00,0
23/02/2019 19:00,0
23/02/2019 20:00,0
23/02/2019 21:00,0
23/02/2019 22:00,1
23/02/2019 23:00,0
24/02/2019 00:00,0
24/02/2019 01:00,0
24/02/2019 02:00,0
24/02/2019 03:00,0
24/02/2019 04:00,0
24/02/2019 05:00,0
24/02/2019 06:00,0
24/02/2019 07:00,0
24/02/2019 08:00,0
24/02/2019 09:00,0
24/02/2019 10:00,0
24/02/2019 11:00,0
24/02/2019 12:00,0
24/02/2019 13:00,0
24/02/2019 14:00,1
24/02/2019 15:00,0
24/02/2019 16:00,0
24/02/2019 17:00,0
24/02/2019 18:00,0
24/02/2019 19:00,0
24/02/2019 20:00,0
24/02/2019 21:00,0
24/02/2019 22:00,0
24/02/2019 23:00,0
25/02/2019 00:00,0
25/02/2019 01:00,0
25/02/2019 02:00,0
25/02/2019 03:00,0
25/02/2019 04:00,0
25/02/2019 05:00,0
25/02/2019 06:00,0
25/02/2019 07:00,0
